Date,Open,High,Low,Close,Adj Close,Volume,Year
9/19/2017,185.509995,189.850006,184.619995,187.350006,187.21994,21857000,2017
9/20/2017,187.5,189.419998,184.210007,185.839996,185.710968,18123000,2017
9/21/2017,181.639999,182.699997,177.610001,180.759995,180.634491,26890000,2017
9/22/2017,180.300003,182.309998,178.600006,179,178.875732,12280800,2017
9/25/2017,177.75,177.800003,170.160004,171,170.881287,21864500,2017
9/26/2017,176.449997,178.679993,170.350006,171.960007,171.840622,28140500,2017
9/27/2017,175.619995,176.270004,172.75,175.729996,175.607986,17843000,2017
9/28/2017,176.020004,176.179993,173.759995,175.679993,175.558029,10881100,2017
9/29/2017,179.080002,179.729996,177.25,178.770004,178.645889,15477300,2017
10/2/2017,180.800003,181.979996,177,179,178.875732,12587000,2017
10/3/2017,179.25,180.580002,177.580002,179.369995,179.245468,9758300,2017
10/4/2017,179.619995,181.770004,178.139999,180.869995,180.744415,10696200,2017
10/5/2017,181.860001,182,179.559998,180.770004,180.644501,10934100,2017
10/6/2017,179.649994,181.839996,179,181.300003,181.174133,7970000,2017
10/9/2017,182.789993,186.729996,182.029999,185.389999,185.261292,14087300,2017
10/10/2017,191.429993,192.949997,187.259995,188.929993,188.798828,24371900,2017
10/11/2017,189.600006,191,187.740005,190.940002,190.807434,13237700,2017
10/12/2017,191.080002,193.089996,189.929993,191.029999,190.897369,13207300,2017
10/13/2017,193.550003,195,191.649994,194.589996,194.454895,15718200,2017
10/16/2017,195.800003,198.050003,193.240005,197.929993,197.792572,14416000,2017
10/17/2017,197.089996,198.899994,196.350006,197.75,197.612701,11964900,2017
10/18/2017,198.110001,198.139999,193.320007,197.580002,197.442825,14182900,2017
10/19/2017,194.440002,198,192.449997,197.800003,197.662674,14269300,2017
10/20/2017,198.490005,199.589996,196.539993,196.899994,196.76329,11290500,2017
10/23/2017,197.779999,198.850006,195.800003,196.619995,196.48349,10717400,2017
10/24/2017,196.990005,198.75,195.940002,198.679993,198.542053,10181100,2017
10/25/2017,197.080002,199.220001,191.169998,193.660004,193.525543,20704000,2017
10/26/2017,194.779999,196.160004,193.809998,195.690002,195.554138,8068600,2017
10/27/2017,197.800003,201.869995,196.75,201.860001,201.719849,14304800,2017
10/30/2017,201.860001,206.089996,201.220001,203.839996,203.698471,12601400,2017
10/31/2017,205.130005,207.889999,204.899994,206.809998,206.666412,10297700,2017
11/1/2017,209.350006,209.970001,204.600006,207.199997,207.056137,12564400,2017
11/2/2017,206,207.809998,203.649994,205.940002,205.797028,8557700,2017
11/3/2017,207.199997,208.690002,205.339996,208.690002,208.54512,8841000,2017
11/6/2017,207.199997,209.979996,206.699997,209.630005,209.484467,9748600,2017
11/7/2017,210.550003,212.899994,210.059998,212.029999,211.882797,10692500,2017
11/8/2017,211.850006,212,207.240005,209.160004,209.014786,13074700,2017
11/9/2017,205.270004,206.330002,200.369995,205.320007,205.17746,24464100,2017
11/10/2017,213.080002,218.669998,211.630005,216.139999,215.989944,31331400,2017
11/13/2017,216.139999,217.169998,212.009995,212.630005,212.482376,14559400,2017
11/14/2017,213,214.800003,211.229996,214.179993,214.031296,13232300,2017
11/15/2017,211.949997,212,207.800003,209.979996,209.834213,12548700,2017
11/16/2017,212.979996,214.199997,211.25,211.610001,211.463089,11044200,2017
11/17/2017,213.919998,215.350006,210.75,211.360001,211.213257,12891600,2017
